item_id,order_id,product_id,quantity,unit_price,discount_percent
1,455,378,2,908.89,30.1
2,4,236,4,349.51,11.3
3,433,185,1,1067.15,17.1
4,793,432,4,452.9,23.9
5,1060,355,4,1716.73,6.1
6,829,132,1,1438.83,23.0
7,932,412,6,1059.03,3.3
8,871,462,6,1257.64,46.9
9,687,184,3,2451.93,31.9
10,786,346,1,2370.76,42.5
11,529,466,5,1090.05,27.9
12,82,52,4,2223.47,41.2
13,517,25,6,1359.16,10.7
14,731,37,4,1491.47,21.4
15,75,87,4,1339.79,7.6
16,297,354,4,2429.77,41.3
17,500,470,6,106.4,19.6
18,79,104,6,957.87,58.8
19,162,433,6,1004.85,11.0
20,527,444,6,2413.07,47.6
21,1170,250,3,1737.17,2.9
22,1175,191,4,695.75,40.3
23,817,6,6,1020.92,1.1
24,849,326,3,247.38,13.5
25,665,472,5,1471.85,38.1
26,674,13,4,860.66,19.2
27,911,175,6,1684.1,15.3
28,67,499,5,1405.51,20.7
29,426,299,5,1878.39,27.1
30,958,361,5,1414.41,24.9
31,48,503,3,2474.25,22.5
32,1101,127,5,246.96,13.1
33,227,411,2,1377.43,21.1
34,446,372,5,1577.54,39.9
35,651,414,5,1239.61,27.8
36,921,4,2,1334.0,20.0
37,951,393,6,1452.49,25.1
38,857,142,-1,1526.22,30.2
39,165,24,6,815.93,15.0
40,1166,380,6,61.69,36.1
41,798,166,2,1147.13,43.4
42,491,331,6,335.96,3.9
43,64,455,4,2474.33,47.8
44,945,340,1,2180.85,54.5
45,502,417,-1,2168.32,59.7
46,790,124,4,1790.91,36.4
47,1094,62,4,735.94,23.9
48,82,451,6,1074.33,7.4
49,299,115,5,1806.38,22.0
50,696,216,2,664.95,19.8
51,152,251,6,1893.67,20.5
52,911,282,4,1488.1,45.7
53,304,380,1,1411.03,42.8
54,629,313,2,1190.84,26.4
55,604,300,6,2148.57,15.4
56,467,152,2,1462.67,15.6
57,1042,175,5,2431.15,38.6
58,1027,497,3,1622.7,52.2
59,988,351,-1,565.94,12.4
60,308,202,6,894.47,27.6
61,25,208,5,912.08,2.0
62,203,82,5,2426.24,3.4
63,1161,188,2,1725.8,39.0
64,502,42,6,2448.55,15.9
65,569,66,2,2265.82,8.0
66,621,489,2,1163.36,32.2
67,105,490,6,295.43,5.0
68,405,499,5,753.4,0.6
69,881,454,1,1944.6,11.7
70,935,278,3,1234.05,10.6
71,1039,307,3,664.18,31.9
72,699,451,5,283.12,45.4
73,374,482,3,1241.99,10.7
74,885,454,1,859.37,41.2
75,375,219,1,771.46,18.3
76,1087,216,6,1429.67,9.3
77,321,162,4,1527.26,9.4
78,1058,427,6,1950.49,16.2
79,539,314,3,837.64,21.2
80,646,428,4,19.15,56.4
81,114,144,3,2437.59,46.0
82,40,263,2,740.52,22.4
83,660,205,4,1994.7,37.1
84,902,165,1,817.08,28.8
85,963,400,1,1721.06,54.5
86,998,61,5,258.09,38.4
87,566,114,4,1182.24,52.9
88,152,156,6,2185.51,35.4
89,1176,336,1,1433.97,45.8
90,534,144,3,1931.39,4.1
91,643,457,3,1869.45,12.9
92,658,204,4,1695.78,42.2
93,523,421,1,1071.19,48.4
94,99,383,1,45.42,26.2
95,66,504,3,710.2,20.0
96,138,116,5,1331.75,47.9
97,180,196,4,1881.01,46.0
98,883,156,4,1627.86,4.4
99,1179,443,5,2224.05,24.1
101,457,206,3,1925.97,34.5
102,727,157,6,476.17,8.9
103,632,41,1,1949.76,32.4
104,142,214,3,508.25,9.8
105,556,28,2,347.59,53.9
106,901,214,-3,954.14,26.8
107,818,128,4,236.67,10.5
108,1185,215,1,305.29,29.3
109,734,216,3,2462.95,48.0
110,737,468,5,45.28,22.8
111,861,318,1,2092.15,26.0
112,616,400,6,2190.47,1.0
113,563,255,3,447.51,0.6
114,1063,40,6,157.65,48.1
115,601,430,4,435.19,56.2
116,311,113,6,1967.46,1.8
117,418,272,6,1556.67,1.7
118,53,148,4,2284.37,2.8
119,773,162,6,254.79,20.9
120,457,488,1,1163.76,24.9
121,1100,1,5,782.02,28.2
122,527,99,6,1197.09,44.9
123,1170,147,2,567.75,4.9
124,195,108,3,628.2,15.0
125,617,274,4,1900.93,7.9
126,865,36,2,1871.1,48.0
127,99,35,-3,2089.27,14.3
128,813,353,5,473.43,52.2
129,1183,270,2,1366.97,7.1
130,573,346,5,2491.73,11.2
131,699,468,4,1659.8,40.1
132,702,375,3,1069.15,1.5
133,1113,114,2,305.09,42.8
134,259,85,3,2415.9,58.3
135,374,228,5,1940.9,11.9
136,725,49,2,2001.65,21.8
137,472,163,5,254.84,9.9
138,464,435,6,2146.45,16.7
139,821,488,5,1172.67,8.2
141,137,493,4,2056.99,45.9
142,497,401,2,1480.58,14.9
143,718,412,3,313.06,44.4
144,311,336,2,31.87,7.0
145,638,238,6,1652.75,17.9
146,256,73,5,2201.17,45.3
147,700,262,1,286.53,28.0
148,1199,499,6,1897.36,13.5
149,212,372,6,607.03,51.0
150,1013,108,4,2163.59,16.8
151,565,430,6,1669.11,15.1
152,731,498,1,610.65,29.7
153,889,500,1,1403.87,50.2
154,770,111,6,1477.91,47.6
155,202,245,1,904.95,40.4
156,864,356,6,1619.49,26.4
157,944,409,5,2033.84,37.7
158,885,186,1,65.24,56.8
159,203,468,4,2124.33,15.2
160,705,49,2,814.66,41.9
161,539,330,2,1853.06,45.2
162,353,234,1,794.75,18.4
163,186,191,3,1892.63,12.1
164,995,164,4,2398.47,19.4
165,229,304,3,1893.14,32.3
166,816,93,1,1780.61,54.9
167,829,363,2,994.91,55.3
168,213,301,6,1535.48,58.2
169,664,252,4,1372.23,40.1
170,561,225,2,617.15,13.5
171,443,22,3,2144.54,29.0
172,899,197,5,1033.75,50.9
173,1190,397,5,1868.25,42.4
174,746,374,3,2250.63,56.2
175,656,138,1,807.55,49.6
176,506,520,5,1772.34,32.1
177,215,357,5,1795.32,38.7
178,1135,55,2,1153.3,26.3
179,894,59,-2,2240.12,28.6
180,303,283,3,1426.54,56.8
181,57,137,4,2465.59,12.9
182,926,339,6,585.25,47.9
183,1041,323,2,2157.52,58.3
184,109,73,3,1536.56,31.8
185,331,184,2,2090.17,1.8
186,1014,414,3,1437.14,56.9
187,794,142,4,2118.93,11.0
188,638,259,6,1251.71,11.1
189,823,84,3,852.6,45.1
190,1073,61,5,1708.36,5.7
191,4,394,-2,769.13,48.0
192,1164,194,1,1593.02,29.9
193,1097,159,3,1501.3,34.4
194,903,456,2,80.7,2.3
195,1101,320,1,2337.91,6.5
196,370,510,2,486.93,9.3
197,691,399,6,1961.24,56.6
198,1136,246,2,2401.17,29.4
199,828,492,1,2028.21,54.6
200,203,329,1,2280.11,33.8
201,1090,290,5,804.19,26.9
202,406,446,6,945.78,29.4
203,1007,399,5,768.21,59.5
204,589,43,6,474.26,5.4
205,1170,50,6,1338.06,2.8
206,621,54,3,2060.25,41.0
207,889,380,5,1704.43,2.7
208,440,328,2,187.04,12.2
209,424,211,-2,2251.3,7.0
211,468,146,4,1498.89,37.3
212,529,318,4,516.17,52.7
213,559,424,1,945.94,50.6
214,389,11,4,1568.21,23.7
215,920,118,6,292.62,54.1
216,1001,263,5,2388.52,42.9
217,816,268,3,275.69,7.2
218,414,206,5,322.15,59.7
219,961,398,1,465.27,45.8
220,139,147,5,1107.85,46.1
221,1032,326,2,114.18,0.9
222,313,359,3,1157.78,54.1
223,116,518,2,163.81,11.0
224,399,452,6,178.11,14.7
225,1083,326,2,146.5,41.1
226,840,174,1,1811.58,19.3
227,79,7,1,956.13,33.8
228,794,37,1,1411.28,4.4
229,976,397,6,1126.93,44.9
230,1005,466,3,1200.43,53.9
231,931,294,3,1594.55,10.5
232,796,22,2,1082.18,18.0
233,88,233,6,2468.79,7.5
234,723,428,4,1154.15,27.1
235,796,409,3,337.12,31.8
236,504,373,2,2251.38,32.9
237,837,145,3,1178.23,32.6
238,927,205,5,546.86,33.1
239,321,454,5,64.47,12.4
240,1163,160,3,1604.89,34.5
241,406,134,3,1907.74,29.2
242,1087,67,1,218.95,0.5
243,109,366,1,511.5,9.0
244,437,324,1,1460.7,49.7
245,973,104,2,2006.83,9.6
246,312,420,1,399.91,33.1
247,962,256,3,2440.43,39.8
248,301,139,1,2201.18,28.4
249,977,372,1,2327.7,35.1
250,373,353,1,2214.58,59.3
251,758,404,2,2292.33,6.7
252,404,86,3,890.01,59.0
253,1014,174,5,916.21,15.2
254,1052,25,5,1226.57,54.3
255,107,460,6,2490.4,20.3
256,559,83,6,835.63,1.9
257,22,205,1,2261.81,22.8
258,74,344,3,920.15,30.8
259,870,355,3,1799.2,33.1
260,1002,87,1,2014.66,54.8
261,1043,110,1,611.19,10.6
262,134,78,2,29.06,0.8
263,699,472,5,1579.35,19.9
264,217,205,1,2295.42,55.6
265,381,239,-3,529.5,43.0
266,793,203,5,1772.05,29.7
267,382,63,6,1109.08,30.5
268,163,194,2,1751.42,42.2
269,156,234,3,410.25,38.1
270,608,224,5,1069.18,49.5
271,494,258,6,707.22,9.7
272,127,62,3,1551.51,49.1
273,164,91,6,799.4,46.3
274,741,68,5,1425.16,43.6
275,654,380,6,1251.74,45.8
276,642,175,6,111.54,21.2
277,953,413,3,1161.74,53.9
278,927,430,6,2374.34,52.4
279,649,375,6,39.81,47.5
280,354,17,2,981.27,9.0
281,691,311,4,2075.3,51.2
282,569,512,4,1084.98,56.8
283,328,109,6,171.93,19.4
284,977,507,2,2010.04,25.0
285,27,319,6,1711.72,25.7
286,250,383,5,2018.78,51.8
287,757,458,4,928.17,14.8
288,669,488,3,1968.08,33.3
289,1183,131,6,2413.86,46.9
290,1173,243,2,2034.24,14.9
291,1154,98,1,963.44,8.9
292,659,273,4,171.98,23.4
293,396,373,3,2120.19,3.5
294,506,495,1,1406.89,47.0
295,656,205,3,2061.22,38.8
296,247,200,1,1311.14,30.2
297,509,12,4,748.95,12.3
298,607,432,6,201.38,27.9
299,303,455,4,1897.36,6.5
300,561,465,2,715.48,35.2
301,662,335,1,1383.67,22.1
302,646,445,4,1617.59,23.7
303,669,332,1,1416.21,34.1
304,1048,509,6,164.38,4.1
305,311,241,2,234.19,21.6
306,732,72,4,1233.68,32.7
307,1075,92,4,2036.84,26.9
308,237,58,3,1613.67,33.5
309,108,44,6,110.23,45.5
310,313,331,2,971.88,38.1
311,811,425,3,1377.33,2.4
312,74,358,5,1756.05,34.9
313,754,156,2,1342.89,54.9
314,577,164,3,2087.88,45.3
315,525,403,3,302.32,17.1
316,60,416,6,515.45,6.8
317,794,211,6,504.36,34.2
318,612,311,6,905.54,3.3
319,471,25,3,778.2,13.0
320,371,398,2,1801.32,27.5
321,801,492,2,1404.27,17.1
322,509,32,1,1550.1,51.4
323,562,164,3,247.6,22.1
324,391,78,6,703.55,39.2
325,610,270,1,1145.03,55.9
326,420,32,6,2201.32,55.9
327,358,467,1,2175.13,34.8
328,1142,492,1,162.89,41.5
329,442,39,6,1246.07,49.8
330,845,46,1,1643.24,57.6
331,576,274,6,65.91,16.3
332,386,46,4,2184.43,50.1
333,892,238,6,1790.35,44.6
334,587,484,5,1363.75,22.4
335,761,356,5,1020.47,34.8
336,763,152,3,2036.5,45.1
337,1013,443,4,220.68,15.2
338,282,462,3,1885.49,51.7
339,337,149,3,1498.99,32.4
340,327,211,5,2062.59,23.8
341,859,107,5,1440.78,15.3
342,1128,343,2,1225.5,19.5
343,765,403,4,551.58,21.1
344,836,465,1,393.47,41.6
345,386,508,5,365.17,4.3
346,628,215,4,1357.21,5.8
347,392,213,1,468.36,46.6
348,147,433,4,2362.46,39.7
349,22,384,3,525.08,25.7
350,980,504,5,2442.65,30.0
351,720,393,6,1883.53,46.2
352,866,503,5,2486.62,22.8
353,999,95,1,212.0,43.5
354,193,481,6,90.68,18.6
355,925,132,4,1485.61,40.5
356,58,186,4,1160.63,41.8
357,795,50,5,636.74,7.1
358,1059,167,4,104.34,36.1
359,874,79,2,501.81,29.2
360,12,181,6,1932.29,2.6
361,375,506,6,575.69,26.7
362,238,25,2,1098.05,22.0
363,881,378,5,1588.91,6.4
364,971,433,4,172.01,5.2
365,733,141,5,306.92,9.7
366,1169,383,2,1395.63,28.7
367,380,238,1,510.11,18.0
368,801,13,1,286.32,40.0
369,1200,141,3,802.23,14.6
370,984,490,2,1199.44,5.9
371,795,73,6,369.55,7.6
372,1045,75,1,1417.56,14.8
373,847,269,3,1018.95,45.1
374,88,383,-3,979.99,36.4
375,461,417,2,1616.87,45.3
376,323,77,5,1084.69,1.9
377,136,150,6,1933.43,2.4
378,569,350,4,762.22,32.1
379,670,396,4,1894.76,50.4
380,1148,141,5,1175.97,5.5
381,1003,65,5,632.72,16.1
382,556,321,5,2317.42,19.4
383,491,197,3,2065.21,31.1
384,843,193,5,1921.94,53.4
385,286,371,6,1782.99,33.2
386,419,121,5,1812.86,52.6
387,506,188,6,2218.75,48.6
388,768,471,4,1345.83,8.8
389,148,403,4,13.15,11.3
390,522,284,4,1280.24,25.2
391,545,502,4,1490.2,28.6
392,793,371,2,1901.51,59.7
393,85,275,3,322.92,5.8
394,867,11,6,283.02,58.6
395,568,274,2,2319.99,21.2
396,485,226,5,433.75,58.0
397,785,94,-1,1430.24,36.8
398,553,417,1,556.33,27.6
399,340,4,2,600.73,18.5
400,1188,238,4,255.41,4.9
401,910,390,6,62.45,45.9
402,421,351,4,808.59,29.9
403,795,148,5,1760.12,36.1
404,774,322,4,886.4,16.4
405,596,481,4,2401.83,41.2
406,1154,23,6,975.23,20.7
407,781,435,4,228.2,15.3
408,469,173,3,551.75,35.1
409,1060,391,2,914.61,45.6
410,185,52,2,629.73,31.5
411,523,447,3,699.89,55.0
412,470,238,2,2180.17,37.3
413,1173,482,6,2355.33,53.7
414,484,79,2,173.12,6.1
415,367,378,4,1809.41,9.2
416,383,176,1,1917.04,30.8
417,43,172,1,125.62,9.4
418,271,286,5,1158.7,27.3
419,226,44,2,172.35,22.6
420,2,405,5,1378.04,43.6
421,1076,363,6,1967.03,34.6
422,830,171,5,1260.37,30.0
423,75,306,5,293.26,54.2
424,784,204,-2,1877.03,12.9
425,302,144,5,1624.43,18.1
426,501,259,2,1219.51,28.0
427,953,426,2,2399.25,14.7
428,299,55,1,879.64,54.6
429,888,489,3,106.11,58.9
430,982,519,3,419.03,59.5
431,299,26,5,1276.22,37.8
432,761,472,4,870.58,19.6
433,754,449,5,1897.44,26.0
434,1053,519,5,172.89,58.1
435,774,274,6,364.16,45.7
436,403,226,4,109.52,18.2
437,273,156,5,1070.14,34.1
439,449,506,2,290.02,40.2
440,702,265,3,1444.72,32.9
441,678,286,3,2016.44,46.7
442,503,279,1,823.74,30.5
443,1022,308,4,2005.18,15.5
444,304,255,2,1163.55,9.2
445,202,410,5,1051.13,19.9
446,167,68,5,1938.54,55.6
447,117,485,4,2446.0,20.0
448,759,504,2,2319.95,23.8
449,439,169,2,843.6,35.9
450,772,9,1,379.37,25.7
451,190,53,6,10.21,10.7
452,274,366,3,1666.82,5.3
453,339,85,3,2470.52,36.9
454,394,503,4,273.31,35.6
455,1078,67,5,1158.53,51.1
456,323,509,6,1518.18,41.3
457,66,485,3,2026.63,21.5
458,1043,411,6,1047.83,55.8
459,634,153,2,1759.57,2.2
460,121,460,1,319.64,43.4
461,579,245,6,1798.01,26.1
462,252,310,6,2343.9,12.6
463,970,197,3,865.99,2.9
464,517,408,4,1960.39,51.8
465,921,433,3,1647.72,57.5
466,1161,257,-1,1042.42,29.2
467,686,508,2,2392.87,54.4
468,370,352,1,2001.52,22.4
469,6,152,5,834.63,39.5
470,1035,202,4,1090.17,57.0
471,81,298,6,1349.29,45.3
472,92,65,1,1188.92,52.7
473,950,323,5,2087.83,13.4
474,543,235,6,1672.74,34.8
475,809,228,5,2380.26,27.0
477,854,314,6,1923.41,39.8
478,1018,295,2,1950.29,51.3
479,797,206,3,40.46,25.8
480,674,265,-1,426.71,17.5
481,527,168,4,906.77,45.9
482,592,71,5,195.18,9.3
483,249,68,1,1947.77,47.7
484,554,346,1,307.99,46.0
485,1095,285,1,1964.82,21.4
486,189,257,4,1814.66,54.7
487,177,165,2,1307.61,41.4
488,398,349,6,2134.5,47.6
489,886,413,5,534.84,11.4
490,991,233,6,2087.11,56.0
491,1013,378,4,501.79,2.5
492,928,382,5,1623.55,24.9
493,16,99,4,1488.65,33.7
494,239,349,4,303.78,48.6
495,650,301,5,102.15,6.4
496,615,389,2,2498.21,16.8
497,844,511,5,774.42,18.0
498,47,96,3,2174.41,55.9
499,206,342,1,799.19,7.4
500,1181,284,1,782.16,45.6
501,1109,305,1,2266.27,39.5
502,206,431,1,236.95,20.0
503,107,5,1,271.54,28.6
504,961,271,4,401.22,56.4
505,508,107,2,1578.94,1.0
506,448,245,2,2474.17,0.3
507,1072,193,5,1234.17,14.3
508,881,300,6,863.95,24.3
509,843,128,3,1768.73,15.3
511,1189,42,6,580.98,15.0
512,96,224,6,694.99,6.8
513,6,15,6,1036.32,20.5
514,916,127,6,2172.66,19.5
515,842,455,5,1659.48,51.5
516,299,249,3,1227.33,56.9
517,896,163,1,158.2,53.3
518,123,424,5,280.49,17.2
519,581,485,4,1965.31,31.8
520,931,206,6,1722.64,16.5
521,977,226,3,1098.13,8.0
522,481,149,4,279.01,43.3
523,1070,318,1,1867.28,1.2
524,1162,290,1,633.99,14.7
525,1139,188,5,1570.66,58.6
526,7,430,1,1422.04,0.1
527,397,436,6,631.66,48.3
528,409,366,6,244.74,28.3
