product_id,product_name,category,subcategory,cost_price
1,Trendy Cameras Mini,Electronics,Cameras,586.21
2,Comfort Cameras Eco,Electronics,Cameras,487.83
3,Royal Footwear Prime,Clothing,Footwear,961.07
4,Deluxe Comics Smart,Books,Comics,722.26
5,Royal Mobiles Mini,Electronics,Mobiles,713.24
6,Royal Cameras Basic,Electronics,Cameras,863.76
7,Ultra Mobiles Mini,Electronics,Mobiles,1040.0
8,Basic Footwear Prime,Clothing,Footwear,1360.71
9,Smart Kids Eco,Clothing,Kids,1841.49
10,Urban Mobiles Trendy,Electronics,Mobiles,689.42
11,Basic Footwear Eco,Clothing,Footwear,1395.04
12,Ultra Furniture Smart,Home,Furniture,234.6
13,Comfort Furniture Royal,Home,Furniture,1967.88
14,Deluxe Women Pro,Clothing,Women,855.61
15,Royal Non-Fiction Prime,Books,Non-Fiction,376.84
16,Smart Comics Trendy,Books,Comics,398.66
17,Smart Comics Trendy,Books,Comics,560.3
18,Royal Mobiles Urban,Electronics,Mobiles,734.76
19,Classic Footwear Ultra,Clothing,Footwear,981.52
20,Superb Lighting Prime,Home,Lighting,699.11
21,Urban Non-Fiction Comfort,Books,Non-Fiction,598.4
22,Basic Laptops Classic,Electronics,Laptops,238.31
23,Deluxe Kitchen Prime,Home,Kitchen,280.05
24,Pro Comics Eco,Books,Comics,1388.4
25,Eco Women Ultra,Clothing,Women,1684.76
26,Smart Audio Eco,Electronics,Audio,1927.84
27,Comfort Comics Eco,Books,Comics,1680.58
28,Classic Non-Fiction Superb,Books,Non-Fiction,587.72
29,Deluxe Kitchen Ultra,Home,Kitchen,917.36
30,Superb Fiction Classic,Books,Fiction,1088.5
31,Royal Furniture Trendy,Home,Furniture,440.99
32,Trendy Fiction Urban,Books,Fiction,498.83
33,Ultra Cameras Basic,Electronics,Cameras,178.53
34,Mini Laptops Royal,Electronics,Laptops,1379.82
35,Superb Non-Fiction Pro,Books,Non-Fiction,1627.99
36,Deluxe Audio Ultra,Electronics,Audio,340.91
37,Superb Decor Ultra,Home,Decor,1031.26
38,Royal Laptops Royal,Electronics,Laptops,123.28
39,Trendy Kitchen Urban,Home,Kitchen,1424.23
40,Eco Footwear Pro,Clothing,Footwear,541.09
41,Eco Comics Classic,Books,Comics,1760.85
42,Deluxe Cameras Trendy,Electronics,Cameras,1872.99
43,Eco Lighting Basic,Home,Lighting,1738.47
44,Comfort Cameras Comfort,Electronics,Cameras,1700.96
45,Prime Non-Fiction Urban,Books,Non-Fiction,540.73
46,Deluxe Decor Superb,Home,Decor,1577.67
47,Classic Mobiles Comfort,Electronics,Mobiles,921.87
48,Eco Laptops Eco,Electronics,Laptops,408.62
49,Pro Kids Urban,Clothing,Kids,551.67
50,Classic Decor Basic,Home,Decor,1299.58
51,Comfort Cameras Ultra,Electronics,Cameras,1511.69
52,Trendy Fiction Classic,Books,Fiction,160.49
53,Smart Footwear Smart,Clothing,Footwear,1635.13
54,Eco Non-Fiction Classic,Books,Non-Fiction,183.22
55,Basic Mobiles Basic,Electronics,Mobiles,278.57
56,Classic Women Deluxe,Clothing,Women,1222.59
57,Basic Footwear Trendy,Clothing,Footwear,1497.8
58,Urban Comics Mini,Books,Comics,284.33
59,Basic Cameras Prime,Electronics,Cameras,283.96
60,Mini Furniture Deluxe,Home,Furniture,1443.75
61,Urban Furniture Urban,Home,Furniture,606.79
62,Ultra Footwear Comfort,Clothing,Footwear,992.3
63,Eco Laptops Comfort,Electronics,Laptops,1058.93
64,Cozy Audio Basic,Electronics,Audio,844.62
65,Royal Footwear Classic,Clothing,Footwear,32.52
66,Cozy Men Smart,Clothing,Men,798.96
67,Prime Lighting Trendy,Home,Lighting,1282.87
68,Classic Kids Ultra,Clothing,Kids,1948.76
69,Prime Kids Superb,Clothing,Kids,1669.88
70,Trendy Audio Prime,Electronics,Audio,1693.7
71,Classic Laptops Cozy,Electronics,Laptops,909.48
72,Comfort Audio Trendy,Electronics,Audio,355.41
73,Trendy Laptops Smart,Electronics,Laptops,1906.27
74,Basic Kitchen Pro,Home,Kitchen,1747.55
75,Basic Mobiles Royal,Electronics,Mobiles,1050.09
76,Eco Furniture Eco,Home,Furniture,115.6
77,Pro Kids Ultra,Clothing,Kids,1789.07
78,Trendy Laptops Deluxe,Electronics,Laptops,492.88
79,Prime Academic Cozy,Books,Academic,1862.66
80,Mini Cameras Basic,Electronics,Cameras,1832.13
81,Urban Decor Classic,Home,Decor,243.2
82,Mini Laptops Royal,Electronics,Laptops,96.63
83,Cozy Fiction Eco,Books,Fiction,1548.19
84,Classic Decor Deluxe,Home,Decor,740.99
85,Trendy Decor Superb,Home,Decor,739.71
86,Trendy Non-Fiction Cozy,Books,Non-Fiction,1592.97
87,Cozy Men Prime,Clothing,Men,696.12
88,Smart Audio Royal,Electronics,Audio,1698.77
89,Mini Furniture Deluxe,Home,Furniture,842.53
90,Trendy Laptops Ultra,Electronics,Laptops,1795.09
91,Eco Academic Trendy,Books,Academic,1013.33
92,Superb Fiction Superb,Books,Fiction,1928.62
93,Ultra Kids Urban,Clothing,Kids,1602.63
94,Eco Decor Ultra,Home,Decor,1887.39
95,Pro Men Classic,Clothing,Men,934.78
96,Deluxe Fiction Basic,Books,Fiction,419.23
97,Ultra Lighting Urban,Home,Lighting,1616.16
98,Mini Furniture Urban,Home,Furniture,300.91
99,Prime Kids Deluxe,Clothing,Kids,524.03
100,Prime Men Urban,Clothing,Men,1497.42
101,Eco Men Classic,Clothing,Men,283.89
102,Urban Mobiles Royal,Electronics,Mobiles,265.78
103,Comfort Academic Comfort,Books,Academic,172.66
104,Smart Furniture Classic,Home,Furniture,1293.74
105,Cozy Men Urban,Clothing,Men,666.44
106,Smart Cameras Pro,Electronics,Cameras,869.15
107,Smart Comics Prime,Books,Comics,349.75
108,Ultra Women Ultra,Clothing,Women,301.52
109,Eco Kids Prime,Clothing,Kids,960.67
110,Prime Audio Pro,Electronics,Audio,1287.09
111,Prime Men Royal,Clothing,Men,961.97
112,Cozy Academic Superb,Books,Academic,779.82
113,Basic Men Superb,Clothing,Men,1792.05
114,Royal Furniture Eco,Home,Furniture,1534.85
115,Classic Women Mini,Clothing,Women,536.72
116,Superb Laptops Urban,Electronics,Laptops,779.9
117,Mini Women Superb,Clothing,Women,1477.52
118,Trendy Furniture Trendy,Home,Furniture,1137.46
119,Urban Women Royal,Clothing,Women,986.99
120,Eco Kitchen Smart,Home,Kitchen,1205.32
121,Smart Cameras Basic,Electronics,Cameras,406.92
122,Trendy Kids Pro,Clothing,Kids,1689.35
123,Smart Furniture Pro,Home,Furniture,1834.86
124,Classic Audio Basic,Electronics,Audio,1325.97
125,Ultra Audio Basic,Electronics,Audio,1466.04
126,Comfort Comics Basic,Books,Comics,1937.64
127,Comfort Kitchen Superb,Home,Kitchen,759.88
128,Pro Kitchen Trendy,Home,Kitchen,1897.65
129,Pro Fiction Superb,Books,Fiction,1618.57
130,Cozy Men Eco,Clothing,Men,160.22
131,Pro Decor Comfort,Home,Decor,182.01
132,Smart Lighting Ultra,Home,Lighting,1387.89
133,Royal Decor Classic,Home,Decor,101.05
134,Pro Comics Cozy,Books,Comics,1764.13
135,Classic Lighting Urban,Home,Lighting,1728.78
136,Eco Women Classic,Clothing,Women,71.66
137,Ultra Audio Classic,Electronics,Audio,1776.42
138,Deluxe Men Cozy,Clothing,Men,679.21
139,Prime Fiction Comfort,Books,Fiction,1780.06
140,Classic Men Basic,Clothing,Men,384.02
141,Ultra Decor Mini,Home,Decor,1145.68
142,Smart Non-Fiction Basic,Books,Non-Fiction,592.63
143,Classic Non-Fiction Smart,Books,Non-Fiction,1278.19
144,Urban Cameras Classic,Electronics,Cameras,797.95
145,Classic Academic Comfort,Books,Academic,373.84
146,Pro Academic Eco,Books,Academic,932.79
147,Superb Kids Smart,Clothing,Kids,1394.46
148,Comfort Mobiles Basic,Electronics,Mobiles,830.9
149,Urban Men Prime,Clothing,Men,840.17
150,Eco Non-Fiction Ultra,Books,Non-Fiction,74.28
151,Royal Men Eco,Clothing,Men,1968.81
152,Pro Women Smart,Clothing,Women,1976.62
153,Urban Non-Fiction Comfort,Books,Non-Fiction,519.48
154,Prime Mobiles Deluxe,Electronics,Mobiles,655.62
155,Cozy Lighting Urban,Home,Lighting,1248.0
156,Prime Fiction Pro,Books,Fiction,1167.44
157,Superb Mobiles Royal,Electronics,Mobiles,1735.61
158,Ultra Lighting Prime,Home,Lighting,1146.19
159,Pro Fiction Ultra,Books,Fiction,1238.4
160,Prime Fiction Cozy,Books,Fiction,1382.57
161,Cozy Cameras Ultra,Electronics,Cameras,45.36
162,Ultra Decor Urban,Home,Decor,1393.88
163,Pro Laptops Ultra,Electronics,Laptops,889.01
164,Trendy Decor Prime,Home,Decor,183.13
165,Cozy Non-Fiction Urban,Books,Non-Fiction,971.5
166,Deluxe Furniture Royal,Home,Furniture,625.69
167,Royal Non-Fiction Urban,Books,Non-Fiction,1139.5
168,Cozy Women Urban,Clothing,Women,119.97
169,Smart Cameras Cozy,Electronics,Cameras,402.22
170,Deluxe Lighting Prime,Home,Lighting,252.13
171,Basic Laptops Eco,Electronics,Laptops,359.28
172,Basic Academic Pro,Books,Academic,521.03
173,Smart Audio Prime,Electronics,Audio,1560.76
174,Comfort Women Mini,Clothing,Women,541.82
175,Urban Fiction Royal,Books,Fiction,1365.99
176,Comfort Non-Fiction Pro,Books,Non-Fiction,21.89
177,Trendy Decor Trendy,Home,Decor,850.49
178,Eco Academic Ultra,Books,Academic,607.78
179,Smart Fiction Deluxe,Books,Fiction,1933.14
180,Ultra Decor Comfort,Home,Decor,675.89
181,Urban Decor Ultra,Home,Decor,1423.63
182,Pro Kitchen Deluxe,Home,Kitchen,1799.88
183,Comfort Academic Pro,Books,Academic,1312.52
184,Cozy Decor Prime,Home,Decor,1474.78
185,Trendy Kids Trendy,Clothing,Kids,1071.6
186,Deluxe Academic Ultra,Books,Academic,1682.07
187,Classic Kids Eco,Clothing,Kids,1451.75
188,Comfort Kids Classic,Clothing,Kids,450.54
189,Royal Lighting Cozy,Home,Lighting,524.82
190,Urban Lighting Classic,Home,Lighting,1733.45
191,Cozy Cameras Mini,Electronics,Cameras,1735.66
192,Prime Academic Smart,Books,Academic,305.8
193,Prime Kids Superb,Clothing,Kids,1973.37
194,Urban Kids Trendy,Clothing,Kids,166.22
195,Basic Kitchen Comfort,Home,Kitchen,550.69
196,Eco Women Royal,Clothing,Women,180.64
197,Prime Comics Prime,Books,Comics,769.72
198,Trendy Laptops Basic,Electronics,Laptops,1784.55
199,Comfort Men Smart,Clothing,Men,501.4
200,Pro Decor Classic,Home,Decor,1179.4
201,Urban Men Smart,Clothing,Men,585.2
202,Cozy Lighting Comfort,Home,Lighting,688.75
203,Royal Academic Mini,Books,Academic,1814.25
204,Mini Fiction Mini,Books,Fiction,266.76
205,Classic Laptops Basic,Electronics,Laptops,1585.29
206,Royal Academic Deluxe,Books,Academic,1189.88
207,Comfort Mobiles Urban,Electronics,Mobiles,236.0
208,Classic Comics Deluxe,Books,Comics,1405.23
209,Ultra Men Prime,Clothing,Men,1326.65
210,Prime Kitchen Urban,Home,Kitchen,1025.61
211,Classic Audio Royal,Electronics,Audio,1219.96
212,Basic Kitchen Trendy,Home,Kitchen,324.95
213,Trendy Non-Fiction Cozy,Books,Non-Fiction,472.84
214,Cozy Mobiles Classic,Electronics,Mobiles,1339.7
215,Royal Men Deluxe,Clothing,Men,207.07
216,Eco Kitchen Ultra,Home,Kitchen,104.91
217,Urban Men Ultra,Clothing,Men,1355.15
218,Classic Fiction Urban,Books,Fiction,96.55
219,Basic Women Basic,Clothing,Women,1910.4
220,Basic Furniture Urban,Home,Furniture,232.09
221,Ultra Comics Urban,Books,Comics,1702.09
222,Classic Non-Fiction Pro,Books,Non-Fiction,122.0
223,Prime Men Cozy,Clothing,Men,1605.52
224,Superb Non-Fiction Prime,Books,Non-Fiction,1224.66
225,Cozy Footwear Eco,Clothing,Footwear,884.17
226,Comfort Audio Basic,Electronics,Audio,1052.01
227,Deluxe Kids Deluxe,Clothing,Kids,1238.39
228,Eco Non-Fiction Basic,Books,Non-Fiction,1284.6
229,Smart Men Comfort,Clothing,Men,1013.61
230,Urban Comics Pro,Books,Comics,644.66
231,Smart Decor Deluxe,Home,Decor,1288.42
232,Classic Non-Fiction Eco,Books,Non-Fiction,1148.2
233,Eco Cameras Basic,Electronics,Cameras,1491.75
234,Prime Mobiles Prime,Electronics,Mobiles,5.34
235,Cozy Audio Deluxe,Electronics,Audio,1310.92
236,Basic Academic Urban,Books,Academic,1689.41
237,Trendy Lighting Comfort,Home,Lighting,907.8
238,Smart Laptops Basic,Electronics,Laptops,1269.15
239,Trendy Decor Classic,Home,Decor,987.38
240,Ultra Fiction Superb,Books,Fiction,245.89
241,Eco Non-Fiction Urban,Books,Non-Fiction,1434.99
242,Smart Cameras Cozy,Electronics,Cameras,1345.92
243,Eco Cameras Comfort,Electronics,Cameras,1010.87
244,Deluxe Fiction Trendy,Books,Fiction,1678.44
245,Trendy Non-Fiction Superb,Books,Non-Fiction,1631.41
246,Comfort Cameras Superb,Electronics,Cameras,647.08
247,Superb Comics Cozy,Books,Comics,500.24
248,Ultra Academic Eco,Books,Academic,280.67
249,Trendy Decor Trendy,Home,Decor,1267.0
250,Superb Women Trendy,Clothing,Women,693.86
251,Deluxe Women Deluxe,Clothing,Women,648.15
252,Deluxe Audio Eco,Electronics,Audio,1885.63
253,Cozy Academic Urban,Books,Academic,30.48
254,Prime Mobiles Pro,Electronics,Mobiles,403.81
255,Comfort Kids Ultra,Clothing,Kids,1382.74
256,Royal Kitchen Deluxe,Home,Kitchen,209.45
257,Mini Footwear Deluxe,Clothing,Footwear,1598.65
258,Cozy Furniture Prime,Home,Furniture,1913.62
259,Smart Furniture Trendy,Home,Furniture,1243.02
260,Cozy Non-Fiction Comfort,Books,Non-Fiction,1297.03
261,Ultra Women Eco,Clothing,Women,1366.9
262,Trendy Women Deluxe,Clothing,Women,859.87
263,Pro Kitchen Superb,Home,Kitchen,16.26
264,Smart Non-Fiction Pro,Books,Non-Fiction,1195.78
265,Royal Lighting Superb,Home,Lighting,150.4
266,Pro Kitchen Deluxe,Home,Kitchen,322.94
267,Basic Fiction Mini,Books,Fiction,1328.35
268,Ultra Decor Mini,Home,Decor,1238.47
269,Classic Fiction Comfort,Books,Fiction,484.49
270,Comfort Men Cozy,Clothing,Men,1832.29
271,Ultra Cameras Deluxe,Electronics,Cameras,54.29
272,Eco Lighting Smart,Home,Lighting,1304.8
273,Classic Furniture Pro,Home,Furniture,1547.77
274,Mini Mobiles Comfort,Electronics,Mobiles,430.28
275,Mini Fiction Deluxe,Books,Fiction,1757.88
276,Trendy Fiction Comfort,Books,Fiction,921.15
277,Classic Furniture Classic,Home,Furniture,1118.38
278,Prime Kids Prime,Clothing,Kids,811.87
279,Prime Furniture Comfort,Home,Furniture,1284.64
280,Trendy Mobiles Urban,Electronics,Mobiles,216.74
281,Ultra Furniture Royal,Home,Furniture,765.92
282,Pro Cameras Deluxe,Electronics,Cameras,1494.77
283,Ultra Kitchen Comfort,Home,Kitchen,1930.9
284,Deluxe Furniture Urban,Home,Furniture,250.85
285,Deluxe Cameras Deluxe,Electronics,Cameras,612.86
286,Prime Kitchen Cozy,Home,Kitchen,1027.54
287,Mini Women Superb,Clothing,Women,392.68
288,Urban Men Royal,Clothing,Men,1988.65
289,Ultra Fiction Comfort,Books,Fiction,398.85
290,Basic Academic Pro,Books,Academic,472.89
291,Cozy Furniture Mini,Home,Furniture,904.04
292,Superb Kitchen Superb,Home,Kitchen,636.08
293,Smart Non-Fiction Basic,Books,Non-Fiction,446.94
294,Urban Academic Basic,Books,Academic,666.47
295,Eco Comics Basic,Books,Comics,976.51
296,Comfort Laptops Superb,Electronics,Laptops,1718.13
297,Ultra Women Trendy,Clothing,Women,157.54
298,Urban Mobiles Deluxe,Electronics,Mobiles,1626.22
299,Cozy Non-Fiction Smart,Books,Non-Fiction,1089.22
300,Basic Non-Fiction Prime,Books,Non-Fiction,1545.43
301,Eco Kitchen Deluxe,Home,Kitchen,796.59
302,Urban Laptops Royal,Electronics,Laptops,1369.9
303,Pro Footwear Pro,Clothing,Footwear,1133.8
304,Basic Footwear Smart,Clothing,Footwear,977.85
305,Basic Audio Mini,Electronics,Audio,1038.18
306,Eco Lighting Cozy,Home,Lighting,97.64
307,Trendy Furniture Deluxe,Home,Furniture,550.62
308,Prime Kitchen Comfort,Home,Kitchen,1177.42
309,Prime Audio Cozy,Electronics,Audio,814.66
310,Royal Lighting Eco,Home,Lighting,18.16
311,Pro Footwear Mini,Clothing,Footwear,565.21
312,Pro Women Basic,Clothing,Women,1634.83
313,Royal Footwear Basic,Clothing,Footwear,965.63
314,Mini Comics Superb,Books,Comics,1667.56
315,Smart Laptops Pro,Electronics,Laptops,326.45
316,Smart Laptops Pro,Electronics,Laptops,364.17
317,Cozy Fiction Trendy,Books,Fiction,1643.5
318,Eco Laptops Superb,Electronics,Laptops,1735.27
319,Urban Women Prime,Clothing,Women,1590.26
320,Pro Kids Trendy,Clothing,Kids,1845.09
321,Prime Laptops Prime,Electronics,Laptops,408.69
322,Superb Non-Fiction Classic,Books,Non-Fiction,1803.71
323,Classic Mobiles Eco,Electronics,Mobiles,1804.46
324,Deluxe Cameras Prime,Electronics,Cameras,91.66
325,Royal Non-Fiction Eco,Books,Non-Fiction,765.57
326,Pro Cameras Ultra,Electronics,Cameras,468.86
327,Superb Audio Cozy,Electronics,Audio,519.32
328,Superb Mobiles Deluxe,Electronics,Mobiles,753.18
329,Prime Kids Basic,Clothing,Kids,1304.89
330,Urban Decor Deluxe,Home,Decor,734.46
331,Royal Lighting Mini,Home,Lighting,1568.66
332,Basic Non-Fiction Deluxe,Books,Non-Fiction,511.29
333,Royal Decor Trendy,Home,Decor,280.45
334,Eco Laptops Royal,Electronics,Laptops,327.78
335,Royal Footwear Basic,Clothing,Footwear,1229.98
336,Prime Laptops Comfort,Electronics,Laptops,1647.39
337,Classic Comics Classic,Books,Comics,744.82
338,Cozy Cameras Prime,Electronics,Cameras,1044.41
339,Comfort Laptops Eco,Electronics,Laptops,407.41
340,Smart Kitchen Royal,Home,Kitchen,1034.05
341,Comfort Women Smart,Clothing,Women,1311.76
342,Ultra Men Royal,Clothing,Men,1340.98
343,Deluxe Non-Fiction Smart,Books,Non-Fiction,141.89
344,Trendy Audio Urban,Electronics,Audio,1167.95
