order_id,customer_id,order_date,status,region_code
1,35,2025-02-26 02:45:30,PLACED,NORTH
2,352,2024-09-07 05:47:20,RETURNED,NORTH
3,427,2024-05-28 10:29:09,CANCELLED,WEST
4,,2023-07-30 21:16:19,CANCELLED,CENTRAL
5,459,2024-10-05 01:17:19,PLACED,CENTRAL
6,154,2024-05-05 02:47:54,PLACED,SOUTH
7,296,03-07-2024 06:59:50,SHIPPED,EAST
8,,2024-08-05 21:59:24,SHIPPED,CENTRAL
9,311,2023-07-01 12:17:01,DELIVERED,EAST
10,,04-10-2024 22:10:33,SHIPPED,EAST
11,232,2024-04-15 02:48:57,DELIVERED,SOUTH
12,58,2023-02-28 02:11:16,PLACED,WEST
13,,2025-01-19 18:59:16,SHIPPED,SOUTH
14,175,2025-03-24 10:15:55,DELIVERED,SOUTH
15,394,2025-03-12 19:20:26,SHIPPED,SOUTH
16,,2024-08-25 02:20:09,RETURNED,NORTH
17,3,2023-03-10 09:33:21,RETURNED,NORTH
18,171,2023-03-13 16:12:55,DELIVERED,NORTH
19,296,2023-11-22 23:36:51,SHIPPED,EAST
20,142,2024-11-16 05:58:56,DELIVERED,SOUTH
21,81,2023-01-24 16:48:41,RETURNED,CENTRAL
22,53,2024-06-28 04:48:24,DELIVERED,SOUTH
23,483,2024-03-16 00:59:06,SHIPPED,NORTH
24,160,2024-06-10 05:06:04,PLACED,SOUTH
25,15,2023-03-20 09:08:11,PLACED,NORTH
26,219,2024-11-23 13:58:50,DELIVERED,EAST
27,419,08-04-2025 17:45:35,CANCELLED,CENTRAL
28,68,28-12-2024 10:35:28,DELIVERED,WEST
29,241,2023-12-14 15:39:43,RETURNED,EAST
30,468,2023-10-12 19:53:52,DELIVERED,EAST
31,233,2023-04-12 12:59:28,DELIVERED,WEST
32,237,2024-03-14 11:19:02,RETURNED,CENTRAL
33,66,2024-09-22 05:04:10,PLACED,EAST
34,285,2024-04-14 07:46:48,CANCELLED,CENTRAL
35,212,2024-01-14 13:27:40,CANCELLED,WEST
36,34,2024-10-31 18:22:51,CANCELLED,CENTRAL
37,404,2024-01-02 20:28:16,PLACED,CENTRAL
38,429,2024-12-20 02:28:38,PLACED,WEST
39,91,22-09-2024 09:05:08,PLACED,CENTRAL
40,395,2024-05-23 14:39:50,PLACED,NORTH
41,112,2025-06-21 04:35:46,PLACED,SOUTH
42,339,2025-04-05 06:39:09,RETURNED,CENTRAL
43,229,2024-05-06 19:37:06,DELIVERED,WEST
44,368,2024-06-18 19:06:55,RETURNED,NORTH
45,314,2024-09-19 21:34:18,DELIVERED,NORTH
46,190,24-03-2023 12:43:47,RETURNED,EAST
47,57,2023-02-18 10:39:05,RETURNED,WEST
48,321,2024-08-17 15:25:52,CANCELLED,CENTRAL
49,109,2025-01-07 16:29:22,RETURNED,WEST
50,432,2024-10-10 03:40:00,SHIPPED,SOUTH
51,6,2023-01-25 09:37:45,CANCELLED,WEST
52,500,2023-05-12 12:28:55,CANCELLED,WEST
53,458,2024-10-23 07:24:06,CANCELLED,CENTRAL
54,218,2024-11-30 02:55:20,SHIPPED,SOUTH
55,218,2025-06-16 19:06:32,SHIPPED,CENTRAL
56,138,2025-04-28 10:33:14,PLACED,NORTH
57,291,2024-07-26 13:36:22,CANCELLED,NORTH
58,73,2025-03-28 17:54:52,DELIVERED,WEST
59,265,2023-05-18 09:31:08,PLACED,CENTRAL
60,409,2023-03-23 23:34:02,RETURNED,NORTH
61,241,2024-12-29 22:15:05,DELIVERED,WEST
62,181,2024-04-02 16:09:11,PLACED,CENTRAL
63,384,2025-05-25 16:29:35,CANCELLED,CENTRAL
64,87,2024-03-29 05:20:52,RETURNED,NORTH
65,147,2023-07-17 00:14:31,DELIVERED,EAST
66,68,2024-03-03 12:50:15,PLACED,NORTH
67,310,2023-08-23 18:44:38,DELIVERED,SOUTH
68,134,2024-01-02 22:01:14,RETURNED,NORTH
69,176,2023-08-14 08:36:39,SHIPPED,WEST
70,386,2024-08-18 05:30:03,CANCELLED,SOUTH
71,108,20-06-2024 01:21:19,DELIVERED,NORTH
72,27,2024-09-11 10:17:01,CANCELLED,CENTRAL
73,120,2024-08-28 22:52:54,SHIPPED,CENTRAL
74,446,2024-03-24 14:57:15,CANCELLED,WEST
75,348,2025-04-03 17:16:49,PLACED,NORTH
76,470,2024-07-03 15:40:02,CANCELLED,CENTRAL
77,471,2024-02-28 10:54:50,DELIVERED,NORTH
78,131,2024-08-30 15:16:09,SHIPPED,CENTRAL
